group_id,model,target_UTS,eval_idx,loss
13,baseline,224.259948566767,13,13.087834310415793
13,baseline,224.259948566767,14,13.087834307822634
13,baseline,224.259948566767,15,13.08783431203071
13,baseline,224.259948566767,16,11.105863234266113
13,baseline,224.259948566767,17,11.105863233807307
13,baseline,224.259948566767,18,11.105863235773814
13,baseline,224.259948566767,19,9.559683140480116
13,baseline,224.259948566767,20,9.55968314130967
13,baseline,224.259948566767,21,9.559683141974716
18,physics,218.20565140402385,1,8721.720169144806
18,physics,218.20565140402385,2,8721.720175160808
18,physics,218.20565140402385,3,8721.720169398368
18,physics,218.20565140402385,4,1392.7519625336552
18,physics,218.20565140402385,5,1392.7519621914205
18,physics,218.20565140402385,6,1392.7519625332352
18,physics,218.20565140402385,7,991.0302495961356
18,physics,218.20565140402385,8,991.0302492556663
18,physics,218.20565140402385,9,991.0302495897525
18,physics,218.20565140402385,10,22.58196126853483
18,physics,218.20565140402385,11,22.581961216819305
18,physics,218.20565140402385,12,22.581961267892478
18,physics,218.20565140402385,13,0.43750395608108705
18,physics,218.20565140402385,14,0.43750396257894497
18,physics,218.20565140402385,15,0.43750395620031207
18,physics,218.20565140402385,16,0.006916328027765613
18,physics,218.20565140402385,17,0.006916328870988222
18,physics,218.20565140402385,18,0.00691632805212566
18,physics,218.20565140402385,19,1.4390459365364919e-05
18,physics,218.20565140402385,20,1.4390421586288521e-05
18,physics,218.20565140402385,21,1.4390459108975929e-05
18,baseline,218.20565140402385,1,41.23280028374375
18,baseline,218.20565140402385,2,41.23280025043537
18,baseline,218.20565140402385,3,41.23280028725694
18,baseline,218.20565140402385,4,30.947912813052916
18,baseline,218.20565140402385,5,30.947912785081254
18,baseline,218.20565140402385,6,30.947912816049463
18,baseline,218.20565140402385,7,2.6335796594847363
18,baseline,218.20565140402385,8,2.6335796533017723
18,baseline,218.20565140402385,9,2.6335796602799997
18,baseline,218.20565140402385,10,0.5090625147132692
18,baseline,218.20565140402385,11,0.5090625123033727
18,baseline,218.20565140402385,12,0.5090625150503385
18,baseline,218.20565140402385,13,0.03505023225018996
18,baseline,218.20565140402385,14,0.035050231670038144
18,baseline,218.20565140402385,15,0.03505023233520936
18,baseline,218.20565140402385,16,0.0008718673319282942
18,baseline,218.20565140402385,17,0.0008718672426958002
18,baseline,218.20565140402385,18,0.0008718673457955519
18,baseline,218.20565140402385,19,1.7044327783683954e-06
18,baseline,218.20565140402385,20,1.7044288550410416e-06
18,baseline,218.20565140402385,21,1.7044333776990315e-06
21,physics,222.7159853400751,1,9584.504809552613
21,physics,222.7159853400751,2,9584.50481585916
21,physics,222.7159853400751,3,9584.50480981842
21,physics,222.7159853400751,4,1076.4439208008796
21,physics,222.7159853400751,5,1076.4439205040724
21,physics,222.7159853400751,6,1076.4439208005103
21,physics,222.7159853400751,7,784.2433887537911
21,physics,222.7159853400751,8,784.2433884569135
21,physics,222.7159853400751,9,784.2433887493753
21,physics,222.7159853400751,10,31.710385747654044
21,physics,222.7159853400751,11,31.710385684214113
21,physics,222.7159853400751,12,31.71038574625842
21,physics,222.7159853400751,13,2.900932322209784
21,physics,222.7159853400751,14,2.900932340208245
21,physics,222.7159853400751,15,2.900932322401674
21,physics,222.7159853400751,16,0.018271037651295174
21,physics,222.7159853400751,17,0.01827103911623274
21,physics,222.7159853400751,18,0.018271037681752755
21,physics,222.7159853400751,19,3.1367716519938596e-05
21,physics,222.7159853400751,20,3.136765556886782e-05
21,physics,222.7159853400751,21,3.136771525795042e-05
21,baseline,222.7159853400751,1,119.50012101606424
21,baseline,222.7159853400751,2,119.5001209593599
21,baseline,222.7159853400751,3,119.50012102204512
21,baseline,222.7159853400751,4,90.02009841533719
21,baseline,222.7159853400751,5,90.02009836886093
21,baseline,222.7159853400751,6,90.02009842040145
21,baseline,222.7159853400751,7,18.609775563167
21,baseline,222.7159853400751,8,18.609775550777158
21,baseline,222.7159853400751,9,18.60977556509882
21,baseline,222.7159853400751,10,9.782609607079808
21,baseline,222.7159853400751,11,9.78260960083191
21,baseline,222.7159853400751,12,9.782609608462836
21,baseline,222.7159853400751,13,5.3252101666940765
21,baseline,222.7159853400751,14,5.325210164097613
21,baseline,222.7159853400751,15,5.325210167686934
21,baseline,222.7159853400751,16,3.7069510105811365
21,baseline,222.7159853400751,17,3.7069510096511977
21,baseline,222.7159853400751,18,3.7069510114366535
21,baseline,222.7159853400751,19,2.8576276000828917
21,baseline,222.7159853400751,20,2.857627600048395
21,baseline,222.7159853400751,21,2.857627600867283
27,physics,227.66024534236854,1,10577.04141314273
27,physics,227.66024534236854,2,10577.041419767776
27,physics,227.66024534236854,3,10577.04141342196
27,physics,227.66024534236854,4,776.3320244876606
27,physics,227.66024534236854,5,776.3320242390542
27,physics,227.66024534236854,6,776.3320244936253
27,physics,227.66024534236854,7,579.2006222358414
27,physics,227.66024534236854,8,579.200621985859
27,physics,227.66024534236854,9,579.2006222306894
27,physics,227.66024534236854,10,39.24419753864545
27,physics,227.66024534236854,11,39.24419746581193
27,physics,227.66024534236854,12,39.244197537657286
27,physics,227.66024534236854,13,9.3448776054167
27,physics,227.66024534236854,14,9.344877639373529
27,physics,227.66024534236854,15,9.34487760631212
27,physics,227.66024534236854,16,0.021314885397056303
27,physics,227.66024534236854,17,0.021314887035238678
27,physics,227.66024534236854,18,0.021314885423372187
27,physics,227.66024534236854,19,9.907389796835663e-06
27,physics,227.66024534236854,20,9.907353627397842e-06
27,physics,227.66024534236854,21,9.90738958409933e-06
27,baseline,227.66024534236854,1,252.04328292903006
